doi,sentence
10/1038_s41524_021_00515_7_nanometersize_na_cluster_formation_in,"Hard carbon (HC), though a promising anode candidate, still has bottlenecks of insufficient capacity and unclear microscopic picture."
10/1038_s42004_025_01515_0_effect_of_additives_on_the,"As negative electrode in SIB, hard carbon is commonly used, combining a stable electrochemical cycling with low operating potential and reasonable intercalation capacity of sodium ions 7 ."
10/1039_c8ee02991a_nature_of_the_zphase_in,The Na-ion battery represents a promising alternative as it avoids these problems and possesses several other advantageous characteristics (e.g. use of Al negative current collector).
10/1039_d3ra04781d_crxy_xy_s_se_te,"In this work, by means of first-principles calculations, we explored the use of 2D Janus transition metal dichalcogenides (TMDs) CrSSe, CrSTe and CrSeTe as anode materials for lithium and sodium-ion batteries."
10/1039_d2ta05971a_unveiling_a_high_capacity_multiredox,"The NASICON-Nb 2 (PO 4 ) 3 anode is expected to reversibly exchange three moles of Li-and Na-ions through redox activities of Nb 5+ /Nb 4+ and Nb 4+ /Nb 3+ centers, leading to a theoretical capacity of ∼171 mA h g -1 ."
10/3389_fchem_2021_647545_freestanding_ndoped_porous_carbon_fiber,"Because of abundance in raw materials, low cost, and electrochemical behavior similar to that of lithium (Kim et al., 2012;Bian et al., 2020;Shen et al., 2020), sodium ion batteries (SIBs) are considered as a promising type of secondary electrochemical battery for large-scale energy storage (Liu et al., 2019)."
10/1007_s42452_018_0141_5_structural_effects_on_the_enhancement,"Hard carbon that had been treated in this way exhibited a sustained rate capability and a discharge capacity and first-cycle Coulombic efficiency of 284 mAh g -1 and 80.0%, respectively."
10/1039_d5ta04988a_solidstate_ivsi_spraydrying_synthesis_for,"Consequently, SIBs should be regarded as complementary to LIBs, particularly in applications where high energy density and power within a compact design are not primary requirements (e.g., electric vehicles). 8 In recent years, world-leading companies in the eld have been investing in developing sodium-ion batteries, in some cases already reaching large-scale production and commercialization."
10/1039_d5ee00725a_reviving_etherbased_electrolytes_for_sodiumion,"By refining the volume ratio of two conventional linear ether solvents, a binary electrolyte 172 (1 M NaPF 6 in DEGDME/TEGDME) can form a cation solvation structure that is well-adaptive for highvoltage Na (de)intercalation of P2-/O3-type layered oxide cathodes."
10/54097_8sr0ea06_progress_of_lowtemperature_carbonization_of,Hard carbon anode for sodium-ion batteries is very promising for practical application as a widely sourced and green material.
10/1039_c5ta09418f_feeling_the_strain_enhancing_ionic,"The good reproduction of the experimental structures of both LiFePO 4 and NaFePO 4 is shown in Table S2-ESI. † For experimental work, lattice strain in thin lm samples is generated by substrate/lm mismatch (i.e. differences in d spacing), as schematically shown in Fig. 1a."
10/1039_d1ta08471b_oxygen_redox_chemistry_in_p2nasub06sublisub011subfesub027submnsub062subosub2sub,"Consequently, compared with the initial capacity at 0.1C rate (the final capacity value of 5 cycles under each current rate), the Na0.6Li0.11Fe0.27Mn0.62O2 electrode exhibits good capacity retentions of 91.3%, 78.5%, 69.3% and 60.9% at C/10, C/5, C/2 and 1C rates, respectively."
10/1038_s41467_019_09170_5_nasicontype_airstable_and_allclimate_cathode,"As shown in Fig. 3h, an all-iron-based low-cost SIB full cell was activated and operated at 100 mA g -1 in the voltage window of 0.1-4.0 V."
10/1039_d4ta05669h_unlocking_recent_progress_in_niobium,"Henceforth, future studies will focus more on the morphology and microstructure of these carbide materials to improve overall sodium ion diffusion and battery performance."
10/20517_energymater_2025_08_partially_graphitic_structureassisted_hard_carbon,"Wood biomass was fractioned in this study into cellulose-rich (CF) and lignin-rich fractions (LF) using a deep eutectic solvent (DES), and each fraction was converted to hard carbon for use as an anode material for SIBs."
10/1039_d2ta05971a_unveiling_a_high_capacity_multiredox,"Li + /Li 0 , we nd a new set of reections along with the parent NASICON-Nb 2 (PO 4 ) 3 , indicating a two-phase intercalation mechanism (F B : Li 1.3- 3.0 Nb 2 (PO 4 ) 3 )."
10/1039_d5eb00075k_sczn_codoped_nasicon_electrolyte_with,"As shown in Fig. 1b, all observed diffraction peaks aligned precisely with the standard NASICON structure, confirming the integrity and consistency of the material's crystalline framework."
10/1038_s41467_025_58637_1_highenergy_and_longlife_o3type_layered,"As shown in Supplementary Fig. 3a, all the synthesized cathodes can be indexed to the R3̅ m space group, indicating a typical O3-type structure 5,11 ."
10/1039_c5ta10568d_inexpensive_colloidal_snsb_nanoalloys_as,"Na-ion full-cell experiments were conducted within a limited charge and discharge capacity window of 400 mA h g À1 , in the potential range of 1.5-4.3 V at a current density of 200 mA g À1 ."
10/1039_d3ya00233k_anodic_dissolution_of_aluminum_in,"Moreover, since it has been suggested in literature that lithium bis(oxalato)borate can passivate aluminum; 17 it is reasonable to assume that NaBOB would have a similar effect in a sodium-ion battery."
10/1039_c6ra27212f_millefeuille_shaped_hard_carbons_derived,"According to previous studies, 28,37,49 the sloping voltage prole above 0.1 V corresponds to sodium insertion between graphene layers."
10/7251_comen2201001m_the_novelties_in_the_development,"During charging Na4Fe3(PO4)2P2O7 to Na4Fe3(PO4)2P2O7 three sodium ions may be extracted, based on the redox reactions of the Fe 2+ /Fe 3+ redox couple. Instead of Fe containing central ion, to obtain higher operation potential Nose et al. investigated Na4Co3(PO4)."
10/20517_energymater_2023_61_fluorine_chemistry_in_lithiumion_and,"Figure 3E) and sodium storage performance (250 mAh g -1 at the first discharge, and the capacity was maintained at 150 mAh g -1 after 50 cycles."
10/1038_s41467_024_47522_y_consummating_ion_desolvation_in_hard,"Before conducting the test, the hard carbon||NNCFM batteries are pre-aged for 10 days at OCP."
10/1038_s41467_025_59707_0_engineering_twin_structures_and_substitutional,"Hence, the existence of twin structures is demonstrated to be favorable for reducing the diffusion energy barrier of sodium ions."
10/1557_s43578_025_01669_6_coppercontaining_layered_oxide_cathodes_for,"For O3-type structures, the solubility of copper is general less than that in P-type structures."
10/1039_d4ee00367e_an_ultrafast_naion_battery_chemistry,"However, compared to other battery chemistries, the study of the fundamental kinetics (i.e., charge rate) for aqueous Na-ion batteries remains at the early stage."
10/1038_s41467_024_47522_y_consummating_ion_desolvation_in_hard,"Nonetheless, the electrolyte in hard carbons, the signal shows a notable increase in peak width."
10/1186_s44147_025_00668_y_review_of_thermal_runaway_risks,"Furthermore, harmonized global standards are needed to ensure consistency in evaluating SIB safety across different chemistries and form factors, facilitating regulatory compliance and consumer confidence."
10/20517_energymater_2024_06_recent_advances_in_alloying_anode,Demir et al. have demonstrated that an in-situ formulated SnO 2 @ hard carbon obtained by hydrothermal carbonization methodology using biowaste of apricot shells can be utilized for high-performance anodic material in SIBs .
10/1021_acs_chemmater_2c02816_phase_stability_and_kinetics_of,"Na + cations are readily extracted from Ca0.5Na2VP to form Ca0.4Na0.6V2(PO4)3 (Table S4), and Ca0.5Na2VP exhibits good electrochemical reversibility in a Na cell, albeit with a limited theoretical capacity relative to its Na counterpart since only 1.5 mol of Na + can be extracted from the lattice in total (Figure S7)."
10/1002_aenm_202303833_review_insights_on_hard_carbon,"Although this technique has been widely used by several groups for activated carbon characterization , only one group 40,98 reported results on various hard carbons."
10/3389_fbael_2023_1330448_effect_of_precursor_morphology_of,"Hard carbon with different microstructures and physicochemical properties can be obtained based on the precursor used, and these properties have a direct impact on the electrochemical performance."
10/1021_acsaem_3c02994_can_a_coating_mitigate_molten,"In the pellet from the SnNaSICONSn-500 cell (Figure 5a and5c), the images are reminiscent of those in the SnNaSICONSn cell tested at 100 mA cm -2 , displaying the mostly uniform, cube-like NaSICON structure throughout the entirety of the cross-section."
10/1039_d2ra01292h_realizing_outstanding_electrochemical_performance_with,Table S1 † lists the sodium ion diffusion coefficients at peak positions for all samples at a scan rate of 0.5 mV s À1 .
10/1039_c4ta06186a_phosphoruscarbon_nanocomposite_anodes_for_lithiumion,This work presents a comprehensive study of phosphorus-carbon nanocomposite anodes for both lithium-ion and sodium-ion batteries.
10/1371_journal_pone_0311943_spherical_hard_carbongraphite_anode_for,"Moreover, the strong resilience of spherical hard carbon exhibits a strong recovery ability, so the even void distribution in hybrid powders is possibly retained after pressing."
10/1039_c4ta06467d_recent_developments_in_electrode_materials,"Moreover, graphene also remains a promising anode material for sodium-ion batteries."
10/1007_s44373_025_00023_z_polymerassisted_spinodal_decomposition_enabling_a,These findings offer valuable insights into the development of advanced cathode materials for high-performance sodium-ion batteries.
10/15251_cl_2022_1911_817_hydrothermal_synthesis_of_ultrathin_ws2,"Therefore, sodium ion batteries (SIBs) as a realistic promising alternative to LIBs are receiving increasing attention due to the abundant sodium sources and the similar chemical properties of sodium and lithium ."
10/1038_s41598_018_21354_5_diffusion_mechanism_in_the_sodiumion,"QENS measurements of Na-ion diffusion were performed on single-crystal and high-purity-powder samples using the OSIRIS spectrometer at ISIS 33 with an energy resolution, ΔE HWHM ~ 12.7 µeV."
10/54097_9y8kjb55_research_progress_on_cathode_materials,"SIB with polyanionic compound cathodes have the advantages of good stability, cycle performance and safety, but its specific capacity is low and its conductivity is poor."
